Date,AAPL,AMZN,AVGO,BAC,COST,GOOGL,HD,JPM,MA,META,MSFT,NVDA,PG,TSLA,UNH,XOM,SPY
2019-01-03,-0.09960793981574867,-0.025241497784936007,-0.08895114522395031,-0.01602568717252295,-0.021195780022121524,-0.02769566062857809,-0.022040484689480055,-0.014211607319130626,-0.04511431007682565,-0.029038841744088106,-0.036787894715154645,-0.06041669740588307,-0.007011431121485723,-0.03147171266518323,-0.02727033407281887,-0.01535356177911884,-0.023862733687285864
2019-01-04,0.04268924778742589,0.05006399867375011,0.009828547893176331,0.0415311259818838,0.02903922006400239,0.051293660648661143,0.02971378110976186,0.036865307184499985,0.04735613316930731,0.047138254094848175,0.04650898202690468,0.06406746078706504,0.02041031466609433,0.0576973909120706,0.011695343254636281,0.03686962082155665,0.033495768555514616
2019-01-07,-0.0022254396325686043,0.03435341415874271,0.020366188266028207,-0.0007821413070984162,0.0036848684064292314,-0.0019943648675194714,0.01969805096628141,0.0006953284409452198,0.007693880563375943,0.0007248849044723116,0.0012754794907714473,0.052940729117877616,-0.004000531421371911,0.05436123871697496,0.0019197280460248045,0.00520031755964534,0.007884751009861857
2019-01-08,0.019062788021432686,0.01661235994563981,-0.008026032488178458,-0.001955734279758925,0.007488094117616306,0.00878316756028008,0.004801208040610794,-0.0018854864246073966,0.007281513715651666,0.0324521661508701,0.007250761224866009,-0.02489545635857915,0.003690988482470514,0.0011642764023440666,0.01337043935007265,0.0072707382416816735,0.009395085213681043
2019-01-09,0.016981864394185697,0.0017143547179709895,0.04325008021048782,0.009799871157849083,0.006473261078310699,-0.0034273927529479,0.01034319901810421,-0.0016902636692290862,0.018150833291176838,0.01192727379355718,0.014299806125027681,0.019666789727383005,-0.016331731064779587,0.009482625353500751,0.0014387373996185282,0.005274927459666845,0.004673477691969241
2019-01-10,0.003196065028770123,-0.0019284287379283116,0.013155734915918815,-0.0011646631343055214,0.0035252265594796217,-0.0026071903760661597,-0.003727801426992472,-9.997328236954761e-05,0.006027466830927253,-0.00020806058451494636,-0.006425948472762899,0.01858614151373028,0.002419069486504055,0.019023398389568458,0.005048432845139672,-0.00510904796313405,0.003527788785172792
2019-01-11,-0.009817982201920428,-0.009455231305329326,0.004208052678851937,0.011659508821713294,-0.0006168118309454185,-0.013310650971897653,0.001954826752150751,-0.004781310428540242,-0.0053313680951724285,-0.002773865988345281,-0.007721876440846875,0.024788220188759258,0.006581186803656935,0.0066383165769237085,0.01143451317786548,-0.004580449355525706,0.00038622202569227326
2019-01-14,-0.015036962516079222,-0.014232985793521946,0.0011971576188929411,0.013061850375257977,-0.0071731717803149575,-0.01217511231013213,-0.00334414614323697,0.010309503545628651,-0.002399359329816164,0.011056979684366475,-0.00729549569472554,0.01081770128887638,-0.006756027083662519,-0.03703280470952408,0.0015747556030154541,-0.0012546203232586262,-0.006101236140879873
2019-01-15,0.02046666692343213,0.035462313843586335,0.0224022918298592,0.006825816875121848,0.00971265319735748,0.03328548138434417,-0.013086812962842642,0.007330895540075488,0.00557759965421889,0.0244857872649471,0.02900515768168077,-0.003788914165931301,0.00943499363931899,0.029994027272290946,0.03551552982264683,0.0005583094990035953,0.011461010002948413
2019-01-16,0.0122163622553364,0.005505997778829874,-0.01867525815066784,0.0715635806920567,-0.004027703559676299,0.0027610829790123415,0.0032302113228790397,0.008064455509558144,0.006360612714115366,-0.009466083315315066,0.0035234174672362784,-0.006872703612491038,-0.006955507482078405,0.004703414429845898,0.01786892656541461,-0.0004186458571451279,0.0024197931533362915
2019-01-17,0.005938034024041139,0.005606434395265758,0.014422036953685824,0.018980402475257785,0.006090043442919413,0.008820577514043082,-0.012257186048244662,0.004097580819189206,0.0077869469650364564,0.005150951733624343,0.0070222479256194514,0.019349616861084495,-0.0001434560751754077,0.0036410765019605495,-0.006463790834068894,0.0068397386337524235,0.007586873110229764
2019-01-18,0.006159360228001676,0.0017598946424279838,0.021501453717190033,0.010693358963859811,0.010072851273970729,0.00744225628240236,0.026934342992072535,0.016226269101570434,0.013496646663303302,0.0117330146010457,0.014982962136347533,0.03433984099647125,0.008605209468940833,-0.1297111611448507,0.022058053416605272,0.011922864381197718,0.013309842074710199
2019-01-22,-0.02244599919914292,-0.03774908655967102,-0.009700205166263798,-0.007167338461617989,-0.005571452209655048,-0.025891850779367176,-0.013754460804610402,-0.015776037201171156,-0.012574374435969093,-0.016462274589851278,-0.018847032921876394,-0.05199781253037217,-0.01071975240346501,-0.011050140026936717,0.0007158422654103269,-0.015070693873487029,-0.013510443358323077
2019-01-23,0.004044202008900433,0.004809570602366753,-0.0029809836506260456,-0.005844009785080151,-0.001459543685101039,0.005358757302521111,-0.0012421891219636105,-0.0025256873785137746,-0.005564981078222453,-0.022158857816381827,0.009746621332276106,0.0034952443384004273,0.04865102959587886,-0.03790309945117787,0.005005701324040324,-0.008206754345358447,0.002092542682377685
2019-01-24,-0.00792591552300248,0.009091336230296898,0.02341523864728834,0.005532613715289347,-0.008392445273528115,-0.00037811039930490953,0.0022615675208783603,0.0005845475160093372,0.007259960961476297,0.010602641076875363,-0.004779390835132569,0.05727112716430116,-0.005693789032118701,0.013630522645296628,-0.0033329447781483834,0.0014026044368078416,0.0005314635298530046
