ticker,date,attention_index_z,n_terms_used,attention_ma_8,attention_abn
AAPL,2020-12-21,0.6602260245001911,4,,
AAPL,2020-12-28,0.5037185964315665,4,,
AAPL,2021-01-04,0.9040078409217209,4,,
AAPL,2021-01-11,0.839763694045756,4,,
AAPL,2021-01-18,1.1507613892520525,4,,
AAPL,2021-01-25,3.613447191292381,4,,
AAPL,2021-02-01,1.4590930805305422,4,,
AAPL,2021-02-08,0.6223422302111923,4,1.2191700058981754,-0.5968277756869831
AAPL,2021-02-15,0.434364611820748,4,1.1909373293132448,-0.7565727174924968
AAPL,2021-02-22,1.0407587584130125,4,1.2580673495609256,-0.21730859114791312
AAPL,2021-03-01,0.9616763358932621,4,1.2652759114323684,-0.3035995755391063
AAPL,2021-03-08,1.0440195763756837,4,1.2908078967236094,-0.24678832034792575
AAPL,2021-03-15,0.5695250412571808,4,1.2181533532242503,-0.6486283119670695
AAPL,2021-03-22,0.2959973804007254,4,0.8034721268627935,-0.5074747464620681
AAPL,2021-03-29,0.11643152074995125,4,0.6356394318902195,-0.5192079111402683
AAPL,2021-04-05,0.38647857073722036,4,0.606156474455973,-0.21967790371875262
AAPL,2021-04-12,0.4837552058846545,4,0.6123302987139614,-0.1285750928293069
AAPL,2021-04-19,0.48045328487983796,4,0.5422921145223145,-0.061838829642476556
AAPL,2021-04-26,1.4790442093883929,4,0.6069630987092058,0.872081110679187
AAPL,2021-05-03,0.27619976678124697,4,0.5109856225099012,-0.23478585572865424
AAPL,2021-05-10,0.23665855552137177,4,0.4693773117929252,-0.23271875627155342
AAPL,2021-05-17,-0.10433296713157449,4,0.4193360183513877,-0.5236689854829621
AAPL,2021-05-24,-0.2213531999194054,4,0.3771129282677181,-0.5984661281871235
AAPL,2021-05-31,-0.3415802346908259,4,0.28610557758921235,-0.6276858122800382
AAPL,2021-06-07,-0.21643496498585785,4,0.19858180623039828,-0.41501677121625613
AAPL,2021-06-14,-0.15549273911470943,4,0.11908855323107982,-0.27458129234578926
AAPL,2021-06-21,-0.13569512549523102,4,-0.08275386362937318,-0.05294126186585785
AAPL,2021-06-28,-0.09449649726447942,4,-0.12909089663508896,0.03459439937060954
AAPL,2021-07-05,0.042267333163748325,4,-0.1533897994297919,0.19565713259354023
AAPL,2021-07-12,0.3732566090221659,4,-0.09369110241057434,0.4669477114327402
AAPL,2021-07-19,0.3518144913687473,4,-0.022045140999555263,0.37385963236830255
AAPL,2021-07-26,0.9569116161980868,4,0.14026634036155883,0.816645275836528
AAPL,2021-08-02,-0.19663735136637944,4,0.14274104206399363,-0.33937839343037307
AAPL,2021-08-09,-0.25923699420840424,4,0.12977301017728177,-0.389010004385686
AAPL,2021-08-16,-0.11921234581750535,4,0.1318333576369975,-0.25104570345450283
AAPL,2021-08-23,-0.26089441117928064,4,0.11103361839764735,-0.371928029576928
AAPL,2021-08-30,-0.07806773356583532,4,0.09599173505644938,-0.17405946862228472
AAPL,2021-09-06,-0.23949339656800744,4,0.01939798435767771,-0.25889138092568514
AAPL,2021-09-13,0.05709269587059762,4,-0.017442240079591,0.07453493595018862
AAPL,2021-09-20,-0.17855117069685902,4,-0.15937508844145923,-0.019176082255399796
AAPL,2021-09-27,-0.25923699420840424,4,-0.16720004379671233,-0.09203695041169191
AAPL,2021-10-04,-0.18175797268044858,4,-0.1575151661057179,-0.024242806574730685
AAPL,2021-10-11,-0.2805839928405959,4,-0.1776866219836042,-0.10289737085699169
AAPL,2021-10-18,-0.012235462866348494,4,-0.14660425344448766,0.13436879057813916
AAPL,2021-10-25,0.8253527425259397,4,-0.03367669393301578,0.8590294364589555
AAPL,2021-11-01,-0.10267555016069813,4,-0.01657446313210213,-0.086101087028596
AAPL,2021-11-08,-0.2838988267823486,4,-0.059198403463720406,-0.22470042331862822
AAPL,2021-11-15,-0.06479175587169925,4,-0.04497847661057544,-0.019813279261123806
AAPL,2021-11-22,-0.2427542145306786,4,-0.042918129150859734,-0.19983608537981887
AAPL,2021-11-29,0.17897714761289452,4,0.002173760885808153,0.17680338672708637
AAPL,2021-12-06,0.434364611820748,4,0.09154233646847613,0.34282227535227183
AAPL,2021-12-13,0.3552821893009974,4,0.13748204298939437,0.21780014631160305
AAPL,2021-12-20,-0.09946874817710852,4,0.021879356651513342,-0.12134810482862186
AAPL,2021-12-27,0.05548929487880283,4,0.04164996228145096,0.013839332597351872
AAPL,2022-01-03,0.14945109608448415,4,0.09581870263980506,0.053632393444679086
AAPL,2022-01-10,-0.14216274544149177,4,0.086147328943581,-0.22831007438507278
AAPL,2022-01-17,-0.1768268248099648,4,0.09438825265867022,-0.27121507746863505
AAPL,2022-01-24,1.4607137746973369,4,0.2546053310442255,1.2061084436531113
AAPL,2022-01-31,0.2744601437260799,4,0.234617272532392,0.0398428711936879
AAPL,2022-02-07,-0.20481640426259815,4,0.16460494833694256,-0.3694213525995407
AAPL,2022-02-14,-0.22295660091120018,4,0.14916896674518113,-0.3721255676563813
AAPL,2022-02-21,-0.2080772222252693,4,0.1162231521071721,-0.3243003743324414
AAPL,2022-02-28,-0.3052998413936218,4,0.05937928492240886,-0.36467912631603067
AAPL,2022-03-07,-0.14387417839144973,4,0.05916535580366412,-0.20303953419511384
AAPL,2022-03-14,-0.20481640426259815,4,0.05566665837208494,-0.26048306263468307
AAPL,2022-03-21,-0.3020390234309507,4,-0.16467744139395102,-0.13736158203699966
AAPL,2022-03-28,-0.224560001902995,4,-0.22705495959758534,0.0024949576945903496
AAPL,2022-04-04,-0.3976042256284268,4,-0.2511534372683139,-0.14645078836011288
AAPL,2022-04-11,-0.5573724716597226,4,-0.2929554211118792,-0.26441705054784337
AAPL,2022-04-18,-0.173607109889439,4,-0.28864665706990045,0.11503954718046144
AAPL,2022-04-25,1.1407543387488404,4,-0.10788988455209267,1.248644223300933
AAPL,2022-05-02,-0.07810883660798071,4,-0.09966921682915905,0.021560380221178344
AAPL,2022-05-09,0.27293894881857583,4,-0.039949797694012315,0.31288874651258813
AAPL,2022-05-16,-0.003849530000550813,4,-0.0026761110152123315,-0.0011734189853384817
AAPL,2022-05-23,-0.12081574680930016,4,0.010291920871499525,-0.13110766768079968
AAPL,2022-05-30,-0.49648426176765564,4,-0.0020680836459040855,-0.49441617812175154
AAPL,2022-06-06,-0.3201792200795527,4,0.02758107280161716,-0.34776029288116983
AAPL,2022-06-13,-0.16527519300272292,4,0.02862256241245667,-0.1938977554151796
AAPL,2022-06-20,-0.45854645149957524,4,-0.17129003636859527,-0.28725641513098
AAPL,2022-06-27,-0.4980876627594505,4,-0.223787389637529,-0.2743002731219215
AAPL,2022-07-04,-0.6167112965390762,4,-0.3349936703072355,-0.2817176262318407
AAPL,2022-07-11,-0.43066490400510504,4,-0.3883455920578048,-0.042319311947300264
