ticker_x,earnings_datetime,event_day,surprise_car_0_1,drift_car_2_21,earnings_count,high_distraction,event_day_dt,ticker_y,date,attention,n_terms_used,attention_ma_8,attention_abn,date_dt,ticker
AAPL,2021-01-27 16:00:00-05:00,2021-01-27,-0.0268287253504681,-0.1266908073766606,3,1,2021-01-27,AAPL,2021-01-25,3.613447191292381,4.0,,,2021-01-25,AAPL
AAPL,2021-04-28 16:00:00-04:00,2021-04-28,-0.0128613171252576,-0.0581089473190421,2,0,2021-04-28,AAPL,2021-04-26,1.4790442093883929,4.0,0.6069630987092058,0.872081110679187,2021-04-26,AAPL
AAPL,2021-07-27 16:00:00-04:00,2021-07-27,-0.0221286947261863,0.0024869610798979,3,1,2021-07-27,AAPL,2021-07-26,0.9569116161980868,4.0,0.1402663403615588,0.816645275836528,2021-07-26,AAPL
AAPL,2021-10-28 16:00:00-04:00,2021-10-28,-0.0048418474756973,0.0586491001021068,3,1,2021-10-28,AAPL,2021-10-25,0.8253527425259397,4.0,-0.0336766939330157,0.8590294364589555,2021-10-25,AAPL
AAPL,2022-01-27 16:00:00-05:00,2022-01-27,0.0469373582762025,-0.0172001933097853,2,0,2022-01-27,AAPL,2022-01-24,1.4607137746973369,4.0,0.2546053310442255,1.206108443653111,2022-01-24,AAPL
AAPL,2022-04-28 16:00:00-04:00,2022-04-28,0.0202468243779794,-0.052622348197571,3,1,2022-04-28,AAPL,2022-04-25,1.1407543387488404,4.0,-0.1078898845520926,1.248644223300933,2022-04-25,AAPL
AAPL,2022-07-28 16:00:00-04:00,2022-07-28,0.0092437707283713,0.0256260850534156,3,1,2022-07-28,AAPL,2022-07-25,0.6485296379307045,4.0,-0.2489422230301436,0.8974718609608481,2022-07-25,AAPL
AAPL,2022-10-27 16:00:00-04:00,2022-10-27,0.0266367571459183,-0.0878330405033991,3,1,2022-10-27,AAPL,2022-10-24,0.9611344631189844,4.0,-0.2098458977656794,1.170980360884664,2022-10-24,AAPL
AAPL,2023-02-02 16:00:00-05:00,2023-02-02,0.0575345949388903,0.0179951088409417,3,1,2023-02-02,AAPL,2023-01-30,0.9299920976618432,4.0,-0.2510040140121198,1.180996111673963,2023-01-30,AAPL
AAPL,2023-05-04 16:00:00-04:00,2023-05-04,0.0255840105985129,0.0011070686873961,1,0,2023-05-04,AAPL,2023-05-01,0.5330717030925229,4.0,-0.4213714967940255,0.9544431998865484,2023-05-01,AAPL
AAPL,2023-08-03 16:00:00-04:00,2023-08-03,-0.0479531298322052,0.0329210325054046,2,0,2023-08-03,AAPL,2023-07-31,0.6730963514834218,4.0,-0.2619444810275551,0.9350408325109768,2023-07-31,AAPL
AAPL,2023-11-02 16:00:00-04:00,2023-11-02,-0.0127757995396647,0.02221908235174,1,0,2023-11-02,AAPL,2023-10-30,0.2401564595655582,4.0,-0.4260314713324489,0.6661879308980071,2023-10-30,AAPL
AAPL,2024-02-01 16:00:00-05:00,2024-02-01,-0.0156800523300706,-0.0936666687252213,3,1,2024-02-01,AAPL,2024-01-29,0.4593175464552891,4.0,-0.4134591518134175,0.8727766982687066,2024-01-29,AAPL
AAPL,2024-05-02 16:00:00-04:00,2024-05-02,0.0600992250476614,0.0265952165384854,1,0,2024-05-02,AAPL,2024-04-29,0.8544147471262994,4.0,-0.2488139444855761,1.1032286916118754,2024-04-29,AAPL
AAPL,2024-08-01 16:00:00-04:00,2024-08-01,0.0228980191812435,-0.0134585076949413,2,0,2024-08-01,AAPL,2024-07-29,0.4429298857987904,4.0,-0.0222622169465496,0.4651921027453401,2024-07-29,AAPL
AAPL,2024-10-31 16:00:00-04:00,2024-10-31,-0.0161063634112007,0.0180276814774906,3,1,2024-10-31,AAPL,2024-10-28,0.1515358371793297,4.0,-0.4097548913775958,0.5612907285569255,2024-10-28,AAPL
AAPL,2025-01-30 16:00:00-05:00,2025-01-30,-0.0141321351689479,0.0419022000556302,2,0,2025-01-30,AAPL,2025-01-27,0.9567753941347146,4.0,-0.338101711845418,1.2948771059801325,2025-01-27,AAPL
AAPL,2025-05-01 16:00:00-04:00,2025-05-01,-0.0554338250955149,-0.0587186085497369,3,1,2025-05-01,AAPL,2025-04-28,0.4132958023122169,4.0,0.1422638038587286,0.2710319984534882,2025-04-28,AAPL
AAPL,2025-07-31 16:00:00-04:00,2025-07-31,-0.0119416103121612,0.104316744915217,3,1,2025-07-31,AAPL,2025-07-28,2.0220091190693377,4.0,-0.0805226962009958,2.1025318152703334,2025-07-28,AAPL
AAPL,2025-10-30 16:00:00-04:00,2025-10-30,0.0102259815778731,0.0497203481454184,3,1,2025-10-30,AAPL,2025-10-27,4.992955589668226,4.0,2.4138914213415923,2.5790641683266333,2025-10-27,AAPL
AMZN,2021-02-02 16:00:00-05:00,2021-02-02,-0.0237838634893916,-0.091859533400924,3,1,2021-02-02,AMZN,2021-02-01,1.956525574200263,4.0,,,2021-02-01,AMZN
AMZN,2021-04-29 16:00:00-04:00,2021-04-29,0.0027809399314696,-0.0782760354722246,2,0,2021-04-29,AMZN,2021-04-26,0.8678485757043948,4.0,-0.2030948826134845,1.0709434583178794,2021-04-26,AMZN
AMZN,2021-07-29 16:00:00-04:00,2021-07-29,-0.0833136584475263,-0.0193255841576231,2,0,2021-07-29,AMZN,2021-07-26,0.6789300274013536,4.0,-0.2535272885698882,0.9324573159712418,2021-07-26,AMZN
AMZN,2021-10-28 16:00:00-04:00,2021-10-28,-0.017248027061734,0.0457769031900857,3,1,2021-10-28,AMZN,2021-10-25,0.3014859263577122,4.0,-0.5382861447853577,0.83977207114307,2021-10-25,AMZN
AMZN,2022-02-03 16:00:00-05:00,2022-02-03,0.0760342100369484,-0.0661411170811696,1,0,2022-02-03,AMZN,2022-01-31,2.136765348146682,4.0,-0.1615931376961635,2.298358485842846,2022-01-31,AMZN
AMZN,2022-04-28 16:00:00-04:00,2022-04-28,-0.0822639403030322,-0.0752730879020368,3,1,2022-04-28,AMZN,2022-04-25,1.7943211114271072,4.0,0.101090755628415,1.693230355798692,2022-04-25,AMZN
AMZN,2022-07-28 16:00:00-04:00,2022-07-28,0.087322596968504,-0.011820997264723,3,1,2022-07-28,AMZN,2022-07-25,1.3009555381728126,4.0,0.4417872320907499,0.8591683060820627,2022-07-25,AMZN
AMZN,2022-10-27 16:00:00-04:00,2022-10-27,-0.1271294636493224,-0.1028953141001445,3,1,2022-10-27,AMZN,2022-10-24,1.533220535294255,4.0,-0.177507098864417,1.710727634158672,2022-10-24,AMZN
AMZN,2023-02-02 16:00:00-05:00,2023-02-02,-0.0144435534011999,-0.0766262500792793,3,1,2023-02-02,AMZN,2023-01-30,1.2942702649246822,4.0,-0.0442563257788702,1.3385265907035524,2023-01-30,AMZN
AMZN,2023-04-27 16:00:00-04:00,2023-04-27,-0.0221317545476131,0.123424385919025,2,0,2023-04-27,AMZN,2023-04-24,1.0323821278791503,4.0,-0.2832395785652832,1.3156217064444335,2023-04-24,AMZN
AMZN,2023-08-03 16:00:00-04:00,2023-08-03,0.0955417634780527,-0.0188862826345865,2,0,2023-08-03,AMZN,2023-07-31,0.949036756568187,4.0,-0.1337209599878441,1.0827577165560311,2023-07-31,AMZN
AMZN,2023-10-26 16:00:00-04:00,2023-10-26,0.069842773437875,0.0459535076320747,2,0,2023-10-26,AMZN,2023-10-23,0.6393663833106815,4.0,-0.4355287748134185,1.0748951581241002,2023-10-23,AMZN
AMZN,2024-02-01 16:00:00-05:00,2024-02-01,0.0813396814239369,-0.0012198449442046,3,1,2024-02-01,AMZN,2024-01-29,0.9750682684531248,4.0,-0.2933545165974557,1.2684227850505805,2024-01-29,AMZN
AMZN,2024-04-30 16:00:00-04:00,2024-04-30,0.0090101845824323,-0.0410473444597933,1,0,2024-04-30,AMZN,2024-04-29,0.957219651723842,4.0,-0.1901508058051343,1.1473704575289765,2024-04-29,AMZN
AMZN,2024-08-01 12:00:00-04:00,2024-08-01,-0.0706308641752984,0.007282019626068,2,0,2024-08-01,AMZN,2024-07-29,0.8850942223357716,4.0,-0.1590210502247173,1.044115272560489,2024-07-29,AMZN
AMZN,2024-10-31 16:00:00-04:00,2024-10-31,0.04439501459313,0.0102507710686946,3,1,2024-10-31,AMZN,2024-10-28,0.7674569440663803,4.0,-0.3229938517916494,1.0904507958580298,2024-10-28,AMZN
AMZN,2025-02-06 16:00:00-05:00,2025-02-06,-0.0235899144626556,-0.0923734055107047,1,0,2025-02-06,AMZN,2025-02-03,1.1289721569425477,4.0,-0.146839360211453,1.2758115171540008,2025-02-03,AMZN
AMZN,2025-05-01 16:00:00-04:00,2025-05-01,0.0082538337617842,0.0429447082011037,3,1,2025-05-01,AMZN,2025-04-28,0.9966008086289466,4.0,0.2227268752527861,0.7738739333761605,2025-04-28,AMZN
AMZN,2025-07-31 16:00:00-04:00,2025-07-31,-0.0455251008572763,0.0293598834185363,3,1,2025-07-31,AMZN,2025-07-28,3.0957144934746177,4.0,0.1977389466060759,2.8979755468685418,2025-07-28,AMZN
AMZN,2025-10-30 16:00:00-04:00,2025-10-30,0.0712570814050611,-0.0372347416461456,3,1,2025-10-30,AMZN,2025-10-27,6.263280430615046,4.0,2.3243658519707235,3.9389145786443223,2025-10-27,AMZN
AVGO,2021-03-04 16:00:00-05:00,2021-03-04,-0.0333023724130683,0.0376633346024686,2,0,2021-03-04,AVGO,2021-03-01,-0.3878517825169573,4.0,-0.4499223432469241,0.0620705607299667,2021-03-01,AVGO
AVGO,2021-06-03 16:00:00-04:00,2021-06-03,-0.002340234263369,-0.0348655544735274,1,0,2021-06-03,AVGO,2021-05-31,-0.4391133692172975,4.0,-0.4828839425557416,0.0437705733384441,2021-05-31,AVGO
AVGO,2021-09-02 16:00:00-04:00,2021-09-02,0.0063617890313702,0.0154559495150675,1,0,2021-09-02,AVGO,2021-08-30,-0.4260793586364052,4.0,-0.4876623895706726,0.0615830309342674,2021-08-30,AVGO
AVGO,2021-12-09 16:00:00-05:00,2021-12-09,0.0713240526830396,5.317625519268496e-05,2,0,2021-12-09,AVGO,2021-12-06,-0.3617837613551728,4.0,-0.4764215907417473,0.1146378293865745,2021-12-06,AVGO
AVGO,2022-03-03 16:00:00-05:00,2022-03-03,0.0309012700191143,0.0103455244864502,2,0,2022-03-03,AVGO,2022-02-28,-0.4130453480555129,4.0,-0.4699592389277529,0.0569138908722399,2022-02-28,AVGO
AVGO,2022-05-26 07:00:00-04:00,2022-05-26,0.0505030650518076,-0.0652464330927642,2,0,2022-05-26,AVGO,2022-05-23,-0.210622368123839,4.0,-0.4412961226360193,0.2306737545121802,2022-05-23,AVGO
AVGO,2022-09-01 16:00:00-04:00,2022-09-01,0.0098678738867769,-0.0181375868814259,1,0,2022-09-01,AVGO,2022-08-29,-0.4004485652862352,4.0,-0.4588824005281831,0.0584338352419478,2022-08-29,AVGO
AVGO,2022-12-08 16:00:00-05:00,2022-12-08,0.0495820344701855,0.067340948675078,2,0,2022-12-08,AVGO,2022-12-05,-0.4004485652862352,4.0,-0.4708352588702583,0.0703866935840231,2022-12-05,AVGO
AVGO,2023-03-02 16:00:00-05:00,2023-03-02,0.0417214310747905,0.0045804516319659,2,0,2023-03-02,AVGO,2023-02-27,-0.4004485652862352,4.0,-0.4587730935752795,0.0583245282890443,2023-02-27,AVGO
AVGO,2023-06-01 16:00:00-04:00,2023-06-01,-0.0183394416041061,0.0455997472067488,2,0,2023-06-01,AVGO,2023-05-29,0.0382144635823209,4.0,-0.3676183718576181,0.405832835439939,2023-05-29,AVGO
AVGO,2023-08-31 16:00:00-04:00,2023-08-31,-0.0206748564751265,0.0138831238858493,1,0,2023-08-31,AVGO,2023-08-28,-0.1280592264120127,4.0,-0.3379488812631276,0.2098896548511148,2023-08-28,AVGO
AVGO,2023-12-07 16:00:00-05:00,2023-12-07,0.0325739589702449,0.1141972849884468,1,0,2023-12-07,AVGO,2023-12-04,-0.1489153257733586,4.0,-0.3038482619335558,0.1549329361601972,2023-12-04,AVGO
AVGO,2024-03-07 16:00:00-05:00,2024-03-07,-0.0315519406065074,0.011972133931732,2,0,2024-03-07,AVGO,2024-03-04,0.8434917738001566,4.0,-0.0388539227599732,0.88234569656013,2024-03-04,AVGO
