ticker,earnings_datetime,event_day,surprise_car_0_1,drift_car_2_21,earnings_count,high_distraction
AAPL,2025-10-30 16:00:00-04:00,2025-10-30,0.010225981577873102,0.04972034814541844,3,1
AAPL,2025-07-31 16:00:00-04:00,2025-07-31,-0.0119416103121612,0.10431674491521706,3,1
AAPL,2025-05-01 16:00:00-04:00,2025-05-01,-0.05543382509551491,-0.058718608549736914,3,1
AAPL,2025-01-30 16:00:00-05:00,2025-01-30,-0.0141321351689479,0.04190220005563028,2,0
AAPL,2024-10-31 16:00:00-04:00,2024-10-31,-0.016106363411200798,0.018027681477490603,3,1
AAPL,2024-08-01 16:00:00-04:00,2024-08-01,0.022898019181243505,-0.01345850769494134,2,0
AAPL,2024-05-02 16:00:00-04:00,2024-05-02,0.06009922504766149,0.02659521653848544,1,0
AAPL,2024-02-01 16:00:00-05:00,2024-02-01,-0.015680052330070603,-0.09366666872522131,3,1
AAPL,2023-11-02 16:00:00-04:00,2023-11-02,-0.0127757995396647,0.022219082351740096,1,0
AAPL,2023-08-03 16:00:00-04:00,2023-08-03,-0.0479531298322052,0.03292103250540461,2,0
AAPL,2023-05-04 16:00:00-04:00,2023-05-04,0.025584010598512903,0.0011070686873961028,1,0
AAPL,2023-02-02 16:00:00-05:00,2023-02-02,0.0575345949388903,0.017995108840941795,3,1
AAPL,2022-10-27 16:00:00-04:00,2022-10-27,0.02663675714591831,-0.0878330405033991,3,1
AAPL,2022-07-28 16:00:00-04:00,2022-07-28,0.009243770728371396,0.025626085053415605,3,1
AAPL,2022-04-28 16:00:00-04:00,2022-04-28,0.0202468243779794,-0.05262234819757101,3,1
AAPL,2022-01-27 16:00:00-05:00,2022-01-27,0.046937358276202594,-0.0172001933097853,2,0
AAPL,2021-10-28 16:00:00-04:00,2021-10-28,-0.0048418474756973025,0.058649100102106895,3,1
AAPL,2021-07-27 16:00:00-04:00,2021-07-27,-0.0221286947261863,0.002486961079897902,3,1
AAPL,2021-04-28 16:00:00-04:00,2021-04-28,-0.0128613171252576,-0.058108947319042197,2,0
AAPL,2021-01-27 16:00:00-05:00,2021-01-27,-0.026828725350468194,-0.1266908073766606,3,1
AAPL,2020-10-29 16:00:00-04:00,2020-10-29,-0.0187066390412012,-0.010121732700490101,4,1
AAPL,2020-07-30 16:00:00-04:00,2020-07-30,0.1124543540998919,0.09550470739973616,6,1
AAPL,2020-04-30 17:00:00-04:00,2020-04-30,0.0407810009783623,0.032638992189670396,2,0
AAPL,2020-01-28 16:00:00-05:00,2020-01-28,0.0395683602397636,-0.07052845088014009,1,0
AMZN,2025-10-30 16:00:00-04:00,2025-10-30,0.0712570814050611,-0.03723474164614561,3,1
AMZN,2025-07-31 16:00:00-04:00,2025-07-31,-0.0455251008572763,0.02935988341853637,3,1
AMZN,2025-05-01 16:00:00-04:00,2025-05-01,0.0082538337617842,0.0429447082011037,3,1
AMZN,2025-02-06 16:00:00-05:00,2025-02-06,-0.023589914462655695,-0.09237340551070472,1,0
AMZN,2024-10-31 16:00:00-04:00,2024-10-31,0.04439501459313001,0.010250771068694601,3,1
AMZN,2024-08-01 12:00:00-04:00,2024-08-01,-0.0706308641752984,0.007282019626068056,2,0
AMZN,2024-04-30 16:00:00-04:00,2024-04-30,0.009010184582432301,-0.04104734445979338,1,0
AMZN,2024-02-01 16:00:00-05:00,2024-02-01,0.08133968142393691,-0.0012198449442046063,3,1
AMZN,2023-10-26 16:00:00-04:00,2023-10-26,0.06984277343787501,0.0459535076320747,2,0
AMZN,2023-08-03 16:00:00-04:00,2023-08-03,0.0955417634780527,-0.018886282634586502,2,0
AMZN,2023-04-27 16:00:00-04:00,2023-04-27,-0.022131754547613104,0.123424385919025,2,0
AMZN,2023-02-02 16:00:00-05:00,2023-02-02,-0.014443553401199988,-0.0766262500792793,3,1
AMZN,2022-10-27 16:00:00-04:00,2022-10-27,-0.12712946364932248,-0.1028953141001445,3,1
AMZN,2022-07-28 16:00:00-04:00,2022-07-28,0.08732259696850408,-0.011820997264723099,3,1
AMZN,2022-04-28 16:00:00-04:00,2022-04-28,-0.08226394030303222,-0.07527308790203682,3,1
AMZN,2022-02-03 16:00:00-05:00,2022-02-03,0.07603421003694842,-0.0661411170811696,1,0
AMZN,2021-10-28 16:00:00-04:00,2021-10-28,-0.017248027061734096,0.045776903190085705,3,1
AMZN,2021-07-29 16:00:00-04:00,2021-07-29,-0.08331365844752639,-0.0193255841576231,2,0
AMZN,2021-04-29 16:00:00-04:00,2021-04-29,0.0027809399314696,-0.0782760354722246,2,0
AMZN,2021-02-02 16:00:00-05:00,2021-02-02,-0.023783863489391696,-0.091859533400924,3,1
AMZN,2020-10-29 16:00:00-04:00,2020-10-29,-0.038945814407093195,-0.05669128388736061,4,1
AMZN,2020-07-30 16:00:00-04:00,2020-07-30,0.0386755171679988,0.003604509330425958,6,1
AMZN,2020-04-30 17:00:00-04:00,2020-04-30,0.002499484994941209,0.00017167040244579507,2,0
AMZN,2020-01-30 16:00:00-05:00,2020-01-30,0.0955284473989987,0.013262703177085586,1,0
AVGO,2025-09-04 16:00:00-04:00,2025-09-04,0.1008619487753166,-0.01709980772735889,1,0
AVGO,2025-06-05 16:00:00-04:00,2025-06-05,-0.059854475679632195,0.06407198283233359,1,0
AVGO,2025-03-06 16:00:00-05:00,2025-03-06,0.03526135766785579,-0.1469451086940452,2,0
AVGO,2024-12-12 16:00:00-05:00,2024-12-12,0.23581296715994599,0.04469990423153698,2,0
AVGO,2024-09-05 16:00:00-04:00,2024-09-05,-0.09269316997484489,0.2031626643306043,1,0
AVGO,2024-06-12 16:00:00-04:00,2024-06-12,0.1360604584218944,-0.007529801054048988,1,0
AVGO,2024-03-07 16:00:00-05:00,2024-03-07,-0.0315519406065074,0.011972133931732002,2,0
AVGO,2023-12-07 16:00:00-05:00,2023-12-07,0.032573958970244996,0.1141972849884468,1,0
AVGO,2023-08-31 16:00:00-04:00,2023-08-31,-0.0206748564751265,0.013883123885849396,1,0
AVGO,2023-06-01 16:00:00-04:00,2023-06-01,-0.0183394416041061,0.04559974720674881,2,0
AVGO,2023-03-02 16:00:00-05:00,2023-03-02,0.0417214310747905,0.004580451631965905,2,0
AVGO,2022-12-08 16:00:00-05:00,2022-12-08,0.049582034470185596,0.06734094867507802,2,0
AVGO,2022-09-01 16:00:00-04:00,2022-09-01,0.009867873886776995,-0.018137586881425995,1,0
AVGO,2022-05-26 07:00:00-04:00,2022-05-26,0.0505030650518076,-0.06524643309276429,2,0
AVGO,2022-03-03 16:00:00-05:00,2022-03-03,0.030901270019114302,0.010345524486450205,2,0
AVGO,2021-12-09 16:00:00-05:00,2021-12-09,0.07132405268303961,5.317625519268496e-05,2,0
AVGO,2021-09-02 16:00:00-04:00,2021-09-02,0.006361789031370298,0.01545594951506759,1,0
AVGO,2021-06-03 16:00:00-04:00,2021-06-03,-0.0023402342633690974,-0.034865554473527495,1,0
AVGO,2021-03-04 16:00:00-05:00,2021-03-04,-0.0333023724130683,0.03766333460246869,2,0
AVGO,2020-12-10 16:00:00-05:00,2020-12-10,-0.0236398121594455,0.0749194781306085,2,0
AVGO,2020-09-03 16:00:00-04:00,2020-09-03,0.012305062221630102,0.02369077758715869,1,0
AVGO,2020-06-04 16:00:00-04:00,2020-06-04,0.001443960676961497,0.020309532587773304,1,0
AVGO,2020-03-12 16:00:00-04:00,2020-03-12,-0.029778085509873098,0.14171123278333742,1,0
BAC,2025-10-15 06:00:00-04:00,2025-10-15,0.010896787415016002,0.03059027252387627,1,0
BAC,2025-07-16 06:00:00-04:00,2025-07-16,0.0094446590850947,-0.010765371206082135,1,0
BAC,2025-04-15 06:00:00-04:00,2025-04-15,0.0436525605430114,0.0574938916332353,1,0
BAC,2025-01-16 06:00:00-05:00,2025-01-16,-0.0202417609149524,-0.02250417279840801,2,0
BAC,2024-10-15 06:00:00-04:00,2024-10-15,0.024573455347906503,0.04782653179875736,2,0
BAC,2024-07-16 06:00:00-04:00,2024-07-16,0.05816567641792661,-0.09984754354786031,2,0
BAC,2024-04-16 06:00:00-04:00,2024-04-16,-0.011725430149539605,0.04355336006938051,2,0
BAC,2024-01-12 06:00:00-05:00,2024-01-12,-0.0283111344126553,-0.018820184451437905,3,1
BAC,2023-10-17 06:00:00-04:00,2023-10-17,0.025489399761931732,0.04129299316924209,1,0
BAC,2023-07-18 06:00:00-04:00,2023-07-18,0.06159901306333639,-0.037253763464936605,1,0
BAC,2023-04-18 06:00:00-04:00,2023-04-18,-0.010588519896187903,-0.050672530592364685,1,0
BAC,2023-01-13 06:00:00-05:00,2023-01-13,-0.0001527095281039989,-0.005183689774879906,3,1
BAC,2022-10-17 06:00:00-04:00,2022-10-17,0.06059875938923159,0.00620538702268009,1,0
BAC,2022-07-18 06:00:00-04:00,2022-07-18,0.015335830778038602,0.003965778104101701,1,0
BAC,2022-04-18 06:00:00-04:00,2022-04-18,0.03604878671394719,-0.008343829949219606,1,0
BAC,2022-01-19 06:00:00-05:00,2022-01-19,0.0104849648644802,0.029548433064894308,3,1
BAC,2021-10-14 06:00:00-04:00,2021-10-14,0.049145801198799195,-0.034429334004225196,2,0
BAC,2021-07-14 06:00:00-04:00,2021-07-14,-0.0239364304983229,0.06056362444869921,1,0
BAC,2021-04-15 12:00:00-04:00,2021-04-15,-0.0320872845078581,0.0815180526236649,2,0
BAC,2021-01-19 06:00:00-05:00,2021-01-19,-0.042082963314108005,0.0404109927010734,1,0
BAC,2020-10-14 06:00:00-04:00,2020-10-14,-0.0233486883701468,0.09520640080603221,2,0
BAC,2020-07-16 06:00:00-04:00,2020-07-16,-0.056511538067849795,0.08710558078161647,1,0
BAC,2020-04-15 07:00:00-04:00,2020-04-15,-0.08317299122404209,0.002716461229260232,2,0
BAC,2020-01-15 06:00:00-05:00,2020-01-15,-0.027539715967321698,-0.015339066735452194,2,0
COST,2025-09-25 16:00:00-04:00,2025-09-25,-0.0321933603420117,-0.004805490111850297,1,0
COST,2025-05-29 16:00:00-04:00,2025-05-29,0.023995753989858495,-0.09843955244820589,1,0
COST,2025-03-06 16:00:00-05:00,2025-03-06,-0.0687151504574605,0.07643878697551482,2,0
COST,2024-12-12 16:00:00-05:00,2024-12-12,-1.114327392229969e-05,-0.053362147576436425,2,0
COST,2024-09-26 16:00:00-04:00,2024-09-26,-0.0277477070566723,-0.0063483250954486405,1,0
COST,2024-06-06 06:00:00-04:00,2024-06-06,0.01472023767563492,0.005210735900764401,1,0
COST,2024-03-07 16:00:00-05:00,2024-03-07,-0.0643664265196281,-0.03500129594469724,2,0
COST,2023-12-14 16:00:00-05:00,2023-12-14,0.0254134495056599,0.05509643399362221,1,0
COST,2023-09-26 16:00:00-04:00,2023-09-26,0.023275402319613,-0.003857275482450375,1,0
COST,2023-06-01 06:00:00-04:00,2023-06-01,-0.021948418347365863,0.0141872889760175,2,0
COST,2023-03-02 16:00:00-05:00,2023-03-02,-0.03062420281495,0.02756321473683241,2,0
COST,2022-12-08 16:00:00-05:00,2022-12-08,0.0018185554446416997,0.001454857092128589,2,0
COST,2022-10-05 06:00:00-04:00,2022-10-05,0.005210316213253602,0.01668574672361489,1,0
COST,2022-05-26 16:00:00-04:00,2022-05-26,0.024409814635793697,0.0797282470188673,2,0
COST,2022-03-03 16:00:00-05:00,2022-03-03,0.0085036497882777,0.0402783978931417,2,0
COST,2021-12-09 16:00:00-05:00,2021-12-09,0.0522140697113869,-0.0647434681261979,2,0
COST,2021-09-23 16:00:00-04:00,2021-09-23,0.020259918279334304,0.010177176058376099,1,0
COST,2021-05-27 16:00:00-04:00,2021-05-27,-0.021257856949687202,0.0268405748484577,1,0
COST,2021-03-04 16:00:00-05:00,2021-03-04,-0.0264786912151,0.0692239325289976,2,0
COST,2020-12-10 16:00:00-05:00,2020-12-10,0.0036888674855646997,-0.0669504892465305,2,0
COST,2020-09-24 16:00:00-04:00,2020-09-24,-0.0246930699856698,0.038848390474757404,1,0
