Date,AAPL,AMZN,AVGO,BAC,COST,GOOGL,HD,JPM,MA,META,MSFT,NVDA,PG,TSLA,UNH,XOM
2019-01-02,37.53883743286133,76.95649719238281,21.003379821777344,21.063486099243164,185.38296508789062,52.33854675292969,145.1678466796875,81.61669921875,182.43858337402344,134.73880004882812,94.61260223388672,3.3771655559539795,76.45465087890625,20.674667358398438,217.128173828125,50.33511734008789
2019-01-03,33.7996711730957,75.01399993896484,19.13510513305664,20.725929260253906,181.45362854003906,50.88899612426758,141.96827697753906,80.45679473876953,174.20799255371094,130.82614135742188,91.13200378417969,3.173128366470337,75.91859436035156,20.02400016784668,211.20701599121094,49.562294006347656
2019-01-04,35.2425537109375,78.76950073242188,19.32317543029785,21.586700439453125,186.722900390625,53.4992790222168,146.1866912841797,83.42285919189453,182.4578094482422,136.99305725097656,95.3704605102539,3.376422643661499,77.4681167602539,21.179332733154297,213.67715454101562,51.3896369934082
2019-01-07,35.16412353515625,81.47550201416016,19.71671485900879,21.56981658935547,187.41094970703125,53.392581939697266,149.0662841796875,83.48086547851562,183.8616180419922,137.0923614501953,95.49210357666016,3.555172920227051,77.158203125,22.33066749572754,214.0873565673828,51.65687942504883
2019-01-08,35.834449768066406,82.8290023803711,19.558467864990234,21.527631759643555,188.81430053710938,53.86153793334961,149.781982421875,83.3234634399414,185.20040893554688,141.5413055419922,96.18449401855469,3.466665267944336,77.4429931640625,22.356666564941406,216.94979858398438,52.03246307373047
2019-01-09,36.44298553466797,82.97100067138672,20.404373168945312,21.73859977722168,190.0365447998047,53.67693328857422,151.33120727539062,83.18262481689453,188.56195068359375,143.22950744628906,97.5599136352539,3.5348434448242188,76.17821502685547,22.568666458129883,217.26193237304688,52.30693054199219
2019-01-10,36.5594596862793,82.81099700927734,20.672807693481445,21.713281631469727,190.7064666748047,53.5369873046875,150.76707458496094,83.17430877685547,189.69850158691406,143.19970703125,96.93299865722656,3.6005425453186035,76.36249542236328,22.99799919128418,218.3587646484375,52.03969192504883
2019-01-11,36.20051956176758,82.02799987792969,20.75979995727539,21.966447830200195,190.58883666992188,52.82437515258789,151.06179809570312,82.77662658691406,188.68714904785156,142.802490234375,96.18449401855469,3.689793586730957,76.86505126953125,23.150667190551758,220.8555908203125,51.801326751708984
2019-01-14,35.65617370605469,80.8604965209961,20.784652709960938,22.25337028503418,189.22171020507812,52.18123245239258,150.55662536621094,83.63001251220703,188.2344207763672,144.38145446777344,95.48278045654297,3.729708671569824,76.34574890136719,22.293333053588867,221.20338439941406,51.73633575439453
2019-01-15,36.38593673706055,83.72799682617188,21.250276565551758,22.4052677154541,191.05955505371094,53.91810989379883,148.58631896972656,84.24309539794922,189.28431701660156,147.916748046875,98.25227355957031,3.7155771255493164,77.06607055664062,22.961999893188477,229.05953979492188,51.765220642089844
